NAME311,LOCATION,BOROUGH,TYPECATEGORY,ACRES,URL
Faber Pool and Park,"Richmond Ter. To Kill Van Kull, Faber St.",R,Community Park,4.339,http://www.nycgovparks.org/parks/R008/
Fairview Park,"Englewood Ave., W. Shore Expwy., Veterans Rd. W.",R,Community Park,42.6,http://www.nycgovparks.org/parks/R153/
Ferry Point Park,"Schley Ave., LI Sound bet. Westchester Creek and Balcom Ave.",X,Flagship Park,413.8,http://www.nycgovparks.org/parks/X126/
Fidler-Wyckoff House Park,"E. 59 St.,Ditmas Ave., Clarendon Rd., Ralph Ave.",B,Historic House Park,1.13,http://www.nycgovparks.org/parks/B376/
Flushing Fields,"149 St. bet. 25 Ave. and 26 Ave., 29 Ave. and Bayside Ave.",Q,Community Park,7.671,http://www.nycgovparks.org/parks/Q086/
Flushing Meadows Corona Park,"Grand Central Pkwy, Van Wyck Exwy",Q,Flagship Park,897.69,http://www.nycgovparks.org/parks/Q099/
Forest Park,"Myrtle Ave, Union Tpke, Park Lane S",Q,Flagship Park,506.86,http://www.nycgovparks.org/parks/Q015/
Fort Greene Park,"Myrtle Ave., De Kalb Ave. bet. Washington Park and St. Edward's St.",B,Community Park,30.168,http://www.nycgovparks.org/parks/B032/
Fort Tryon Park,"Riverside Dr To Broadway, W 192 St To Dyckman St",M,Community Park,67.213,http://www.nycgovparks.org/parks/M029/
Fort Washington Park,"Riverside Dr., Hudson River, W. 155 St. to Dyckman St.",M,Community Park,184.143,http://www.nycgovparks.org/parks/M028/
Frank Principe Park,"Maurice Ave., 63 St. bet. 54 Ave. and Borden Ave.",Q,Community Park,8.899,http://www.nycgovparks.org/parks/Q131/
Franz Sigel Park,"NYCRR, Walton Ave, E 158 St, Grand Concourse",X,Community Park,15.99,http://www.nycgovparks.org/parks/X047/
Freshkills Park,"Victory Blvd., Signs Rd., Travis Ave., Arthur Kill Rd.",R,Community Park,953.065,http://www.nycgovparks.org/parks/R017/
Friends Field,"Ave. L, E. 4 St., Mcdonald Ave., Ave. M",B,Community Park,6.7,http://www.nycgovparks.org/parks/B372/
Gen. Douglas MacArthur Park,Dongan Hills Ave. and Jefferson St.,R,Community Park,5.165,http://www.nycgovparks.org/parks/R067/
Gerard P. Dugan Playground,Mill Rd. to Weed Ave. bet. Tysens La. and Isernia Ave.,R,Community Park,3.333,http://www.nycgovparks.org/parks/R026/
Glen Oaks Oval,"74 Ave., 260 St.",Q,Community Park,2.948,http://www.nycgovparks.org/parks/Q310/
Hamilton Fish Park,"E Houston St, Stanton St, Sheriff St, Pitt St",M,Community Park,4.3,http://www.nycgovparks.org/parks/M033/
Harvey Park,"144 St., Whitestone Exwy. bet. 15 Ave. and 20 Ave.",Q,Community Park,9.154,http://www.nycgovparks.org/parks/Q089B/
Hendrick I. Lott House,E. 35 St. to E. 36 St. between Fillmore Ave. and Ave. S,B,Historic House Park,0.734,http://www.nycgovparks.org/parks/B433/
Herbert Von King Park,"Marcy Ave., Tompkins Ave., bet. Greene Ave. and Lafayette Ave.",B,Community Park,7.819,http://www.nycgovparks.org/parks/B088/
Highbridge Park,"W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av",M,Community Park,130.1,http://www.nycgovparks.org/parks/M037/
Highland Park,"Highland Blvd, Jamaica Ave, Jackie Robinson Pkwy",Q,Community Park,101.28,http://www.nycgovparks.org/parks/Q020/
Highland Park,Jamaica Ave. and Highland Blvd. from Highland Pl. to Bulwer Pl.,B,Flagship Park,45.059,http://www.nycgovparks.org/parks/B047/
Howard Playground,Mother Gaston Blvd. and Glenmore Ave.,B,Community Park,1,http://www.nycgovparks.org/parks/B260/
Howard Pool,E. New York Ave. between Mother Gaston Blvd. and St. Mark's Ave.,B,Community Park,0.67,http://www.nycgovparks.org/parks/B260A/
Inwood Hill Park,"Dyckman St, Hudson River, Harlem River S",M,Community Park,196.398,http://www.nycgovparks.org/parks/M042/
Isham Park,"Broadway, Isham St, Inwood Pk",M,Community Park,20.132,http://www.nycgovparks.org/parks/M043/
Jacob Joffe Fields,Ave. K between E. 58 St. and E. 59 St.,B,Community Park,2.984,http://www.nycgovparks.org/parks/B324/
John Golden Park,"215 Pl., Cross Island Pkwy. bet. 31 Rd. and 33 Ave.",Q,Community Park,17,http://www.nycgovparks.org/parks/Q012B/
John Jay Park,"FDR Dr., E 76 St. To E 78 St.",M,Community Park,3.312,http://www.nycgovparks.org/parks/M045/
John V. Lindsay East River Park,"Montgomery St. To E. 12 St., FDR Drive",M,Community Park,45.88,http://www.nycgovparks.org/parks/M144/
Joyce Kilmer Park,Grand Concourse to Walton Av bet. E 161 St and E 164 St,X,Community Park,6.882,http://www.nycgovparks.org/parks/X028/
Judge Moses Weinstein Playground,"Union Turnpike, Vleigh Pl., 141 St.",Q,Community Park,3.25,http://www.nycgovparks.org/parks/Q336/
Juniper Valley Park,"Juniper Blvd. bet. Lutheran Ave., 71 St. and Dry Harbor Rd.",Q,Community Park,55.639,http://www.nycgovparks.org/parks/Q102/
Kaiser Park,"Neptune Ave., Bayview Ave.,W. 24 St. to W. 32 St.",B,Community Park,26.257,http://www.nycgovparks.org/parks/B129/
Kissena Corridor Park,"Peck & Underhill Aves, Utopia Pkwy, Horace Harding",Q,Community Park,45.937,http://www.nycgovparks.org/parks/Q300A/
Kissena Corridor Park,"Lawrence St,N Hempstead Tpk,Elder Ave,Kissena Blvd",Q,Community Park,100.873,http://www.nycgovparks.org/parks/Q300/
Kissena Park,"Underhill, Oak, Rose, Booth Memorial Aves, Kissena Blvd, Fresh Meadow Ln",Q,Community Park,237.147,http://www.nycgovparks.org/parks/Q024/
LaTourette Park & Golf Course,"Forest Hill & London Rds, Rockland Ave",R,Flagship Park,760.79,http://www.nycgovparks.org/parks/R013/
Lewis H Latimer House,137th St. and Leavitt St.,Q,Historic House Park,0.319,http://www.nycgovparks.org/parks/Q497/
Lincoln Terrace / Arthur S. Somers Park,"Eastern Pkwy., E. New York Ave. bet. Rochester Ave. and Portal St.",B,Community Park,17.14,http://www.nycgovparks.org/parks/B054/
Lindower Park,Strickland Ave. between Mill Ave. and E. 60 Pl.,B,Community Park,6.7,http://www.nycgovparks.org/parks/B329/
Little Bay Park,Cross Island Pkwy. bet. Utopia Pkwy. and Totten Ave.,Q,Community Park,55.22,http://www.nycgovparks.org/parks/Q010A/
Loreto Playground,Morris Park Ave. bet. Haight Ave. and Tomlinson Ave.,X,Community Park,2.181,http://www.nycgovparks.org/parks/X163/
Lost Battalion Hall Recreation Center,Queens Blvd. bet. 62 Ave. and 62 Rd.,Q,Community Park,2.412,http://www.nycgovparks.org/parks/Q401/
Macombs Dam Park,"River Ave. to the Harlem River bet. E. 157 St. , W. 161 St. and E. 164 St.",X,Community Park,44.174,http://www.nycgovparks.org/parks/X030/
Mafera Park,65 Pl. bet. Shaler Ave. and the rail yards,Q,Community Park,5.4,http://www.nycgovparks.org/parks/Q305/
Manhattan Beach Park,Oriental Blvd. between Ocean Ave. and Mackenzie St.,B,Community Park,42.941,http://www.nycgovparks.org/parks/B251/
Marcus Garvey Park,"Madison Ave, E. 120 St. to E. 124 St.",M,Community Park,20.165,http://www.nycgovparks.org/parks/M058/
Marcy Playground,Myrtle Ave. bet. Nostrand Ave. and Marcy Ave.,B,Community Park,3.201,http://www.nycgovparks.org/parks/B217/
Marine Park,"Flatbush, Gerritsen & Fillmore Aves, Jamaica Bay",B,Community Park,800,http://www.nycgovparks.org/parks/B057/
McCarren Park,"Nassau Ave, Bayard, Leonard & N 12 Sts",B,Community Park,36.493,http://www.nycgovparks.org/parks/B058/
Merchant's House Museum,E. 4 St. bet. Bowery and Lafayette St.,M,Historic House Park,0.072,http://www.nycgovparks.org/parks/M318/
Montbellier Park,"Springfield Blvd., Sloan St. bet. 139 Ave. and Eastgate Plaza",Q,Community Park,4.427,http://www.nycgovparks.org/parks/Q396/
Morningside Park,"W 110 St To W 123 St, Manhattan Av To Morningside Av",M,Community Park,29.888,http://www.nycgovparks.org/parks/M056/
Olmsted-Beil House Park,Orchard La. S. bet. King St. and Hylan Blvd.,R,Historic House Park,2.76,http://www.nycgovparks.org/parks/R162/
Paerdegat Park,"Albany Ave., E. 40 St. bet. Farragut Rd. and Foster Ave.",B,Community Park,3.56,http://www.nycgovparks.org/parks/B218/
Pelham Bay Park,"Bruckner Blvd, Eastchester, Hutchinson",X,Flagship Park,2771.747,http://www.nycgovparks.org/parks/X039/
"Phil ""Scooter"" Rizzuto Park","Atlantic Ave., 95 Ave. bet. 127 St. and 125 St.",Q,Community Park,4.353,http://www.nycgovparks.org/parks/Q129/
Police Officer Edward Byrne Park,"N. Conduit Ave., 135 Ave. bet. 130 Pl. and 134 St.",Q,Community Park,4.966,http://www.nycgovparks.org/parks/Q092/
Prospect Park,"Prospect Pk W, Flatbush, Parkside, Ocean Aves",B,Flagship Park,526.25,http://www.nycgovparks.org/parks/B073/
Queensbridge Park,"Queensboro Bridge, 41 Rd., 40 Ave. bet. The East River, Vernon Blvd., and 21 St.",Q,Community Park,20.34,http://www.nycgovparks.org/parks/Q104/
Randall's Island Park,East River and Harlem River,M,Flagship Park,254.3,http://www.nycgovparks.org/parks/M104/
Recreational Area,"W. 145 St., W. 155 St., Hudson River",M,Community Park,23.093,http://www.nycgovparks.org/parks/M140/
Red Hook Recreation Area,"Halleck St., Bush St. bet. Otsego St. and Court St.",B,Community Park,58.503,http://www.nycgovparks.org/parks/B126/
Rev. T. Wendell Foster Park and Recreation Center,Jerome Av to River Av bet. E 164 St and McClellan St at Cromwell Ave,X,Community Park,15.049,http://www.nycgovparks.org/parks/X034/
Riverside Park,"Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.",M,Community Park,253.168,http://www.nycgovparks.org/parks/M071/
Riverside Park South,"12 Ave., Riverside Blvd. bet. W. 59 St. and W. 72 St.",M,Community Park,71.933,http://www.nycgovparks.org/parks/M353/
